Time,Price

09:15:32,1472.50
09:15:38,1472.50
09:15:44,1471.75
09:15:50,1470.40
09:15:56,1470.30
09:16:02,1469.20
09:17:02,1470.60
09:17:02,1470.45
09:17:04,1470.00
09:17:04,1470.50
09:17:05,1470.05
09:17:07,1470.30
09:17:08,1470.30
09:17:52,1468.85
09:17:53,1468.85
09:17:54,1469.05
09:17:55,1468.95
09:17:56,1468.85
09:17:57,1468.80
09:17:58,1468.55
09:17:59,1468.25
09:17:59,1468.20
09:18:01,1468.25
09:18:02,1468.20
09:18:03,1468.05
09:18:04,1468.15
09:18:05,1468.90
09:18:06,1468.65
09:18:07,1469.05
09:18:08,1469.60
09:18:09,1469.00
09:18:10,1469.00
09:18:11,1469.00
09:18:12,1468.80
09:18:13,1468.80
09:18:14,1468.90
09:18:15,1468.90
09:18:16,1468.85
09:18:17,1468.70
09:18:18,1468.25
09:18:19,1468.15
09:18:20,1468.25
09:18:21,1468.20
09:18:22,1468.25
09:18:23,1468.25
09:18:24,1468.70
09:18:25,1468.70
09:18:26,1468.65
09:18:27,1468.60
09:18:28,1468.70
09:18:29,1468.70
09:18:30,1468.70
09:18:31,1469.05
09:18:32,1469.00
09:18:33,1468.90
09:18:34,1468.85
09:18:35,1468.85
09:18:36,1468.75
09:18:37,1468.55
09:18:38,1468.70
09:18:39,1468.60
09:18:40,1468.55
09:18:41,1468.50
09:18:42,1468.45
09:18:43,1468.45
09:18:44,1468.10
09:18:45,1468.95
09:18:46,1469.20
09:18:47,1469.15
09:18:48,1469.15
09:18:49,1469.20
09:18:50,1468.75
09:18:51,1469.15
09:18:52,1469.10
09:18:53,1469.60
09:18:54,1469.50
09:18:55,1469.50
09:18:56,1469.65
09:18:57,1469.30
09:18:58,1469.70
09:18:59,1469.60
09:19:00,1469.95
09:19:01,1469.95
09:19:02,1469.95
09:19:03,1469.95
09:19:04,1469.90
09:19:06,1469.95
09:19:07,1469.95
09:19:08,1469.90
09:19:09,1470.05
09:19:10,1470.00
09:19:11,1470.55
09:19:11,1470.50
09:19:12,1470.45
09:19:13,1470.40
09:19:14,1470.40
09:19:15,1470.55
09:19:16,1470.55
09:19:17,1470.90
09:19:18,1470.85
09:19:19,1471.00
09:19:20,1470.60
09:19:21,1471.20
09:19:22,1470.75
09:19:23,1471.30
09:19:24,1471.35
09:19:25,1471.25
09:19:26,1470.40
09:19:27,1470.35
09:19:28,1470.25
09:19:29,1470.60
09:19:30,1471.25
09:19:31,1471.20
09:19:32,1471.35
09:19:33,1471.25
09:19:34,1471.25
09:19:35,1470.60
09:19:36,1470.45
09:19:37,1470.45
09:19:38,1470.30
09:19:39,1469.85
09:19:40,1469.70
09:19:41,1469.85
09:19:42,1469.85
09:19:43,1469.85
09:19:44,1469.80
09:19:45,1469.55
09:19:46,1469.60
09:19:47,1469.75
09:19:48,1469.85
09:19:49,1470.10
09:19:50,1470.15
09:19:51,1470.05
09:19:52,1469.90
09:19:53,1469.35
09:19:54,1469.40
09:19:55,1469.35
09:19:56,1469.20
09:19:57,1469.15
09:19:58,1469.00
09:19:59,1468.90
09:20:00,1468.80
09:20:01,1468.70
09:20:02,1468.75
09:20:03,1468.70
09:20:04,1468.90
09:20:05,1468.90
09:20:06,1468.95
09:20:07,1469.00
09:20:08,1469.55
09:20:09,1470.10
09:20:10,1470.10
09:20:11,1470.10
09:20:12,1470.40
09:20:13,1470.25
09:20:14,1469.75
09:20:15,1469.75
09:20:16,1469.75
09:20:17,1470.10
09:20:18,1470.10
09:20:19,1469.75
09:20:20,1470.15
09:20:21,1470.15
09:20:22,1470.05
09:20:23,1469.95
09:20:24,1469.95
09:20:25,1469.80
09:20:26,1469.90
09:20:27,1470.10
09:20:28,1470.05
09:20:29,1470.05
09:20:30,1470.80
09:20:31,1470.70
09:20:32,1470.80
09:20:33,1470.30
09:20:34,1470.30
09:20:35,1470.75
09:20:36,1470.25
09:20:37,1470.25
09:20:38,1470.00
09:20:39,1470.60
09:20:40,1470.30
09:20:41,1470.30
09:20:42,1470.10
09:20:43,1470.40
09:20:45,1470.40
09:20:46,1469.90
09:20:47,1470.45
09:20:47,1470.40
09:20:48,1470.45
09:20:49,1470.50
09:20:50,1470.10
09:20:51,1470.50
09:20:52,1470.45
09:20:53,1470.50
09:20:55,1470.50
09:20:56,1470.80
09:20:57,1470.30
09:20:58,1470.80
09:20:59,1470.95
09:21:00,1471.05
09:21:01,1471.25
09:21:02,1471.05
09:21:03,1471.00
09:21:04,1471.15
09:21:05,1471.75
09:21:06,1471.70
09:21:07,1471.20
09:21:08,1471.20
